24|골목|路地(ろじ)||골목에 들어섰을 때부터 이상했다.|横道に入った時から、おかしかった。|저 골목으로는 들어가지 마세요.|あの路地には入らないでください。|막다른 골목.|行き止まりの路地。
25|공간|空間|틈;자리|그 짐이 너무 많은 공간을 차지해요.|その荷物はとても広い空間を占めます。|공간을 잘 활용한 인테리어.|空間をうまく利用したインテリア。|휴식 공간.|休憩の空間
26|공기|空気||산이라 공기가 정말 신선해요.|山なので空気が本当に新鮮です。|이 동네는 공장이 많아서 공기가 나빠요.|この町は工場が多くて空気が悪いです。|공기청정기.|空気清浄機。
27|공동|共同|단독|공동으로 이용하는 곳이니 깨끗하게 써요.|共同で使う所なのできれいに使います。|안국과 일본이 월드컵을 공동 개최했다.|韓国と日本はワールドカップを共同開催した。|공동경비구역 JSA|共同警備区域 JSA。
28|공무원|公務員|공직자|그는 졸업하고 공무원 시험 준비해요.|彼は卒業して公務員試験の準備をしています。|공무원 철밥통이라는 것도 다 옛말이다.|公務員は鉄の弁当箱と言ったのもすべて昔の話だ。|9급 공무원.|9級公務員(一般職地方公務員のこと)。
29|공장|工場||맥주 공장을 견학하고 싶어요.|ビールの工場を見学したです。|공장이 문을 닫아서 요즘 저도 쉬어요.|工場閉？？したので最近私も休んでいます。|`찰리와 초콜릿 공장`의 조니 뎁.|「チャーリーとチョコレート工場」のジョニー・デップ。
30|공짜|ただ|무료|공짜가 돈 주고 산 것만 하겠어요?|ただ(の物)がお金を払って買った物よりよいはけがないでしょ？|이런 공짜 구경을 마다할 필요는 없죠.|こんなただの見物を嫌がる必要ないでしょう。|공짜라면 양잿물이라도 마신다더니!|だたならかせいソーダでも飲むと言っていたのに！
31|과목|科目||제일 좋아하는 과목은 국어입니다.|最も好きな科目は国語です。|전공과목 성적이 이래서야 되겠어?|専攻科目の成績はこうでいいのか？|그녀의 담당 과목은 과학이다.|彼女の担当科目は科学だ。
32|과장|課長||총무과의 과장이 누구지?|総務課の課長は誰だっけ？|김 과장 어디 갔나?|キム課長はどこに行った？|김 과장님 조금 전에 퇴근하셨습니다.|キム課長は少し前に退勤されました。
33|괴정|過程||결과만큼 과정도 중요하다.||그 과정에서 생긴 오류입니다.||제품 제작 과정입니다.|
34|과제|課題|문제;숙제|과제를 하느라 밤을 샜다.||그 사진은 과제로 제출한 것이다.||우리가 당면한 과제는 무엇인가?|
35|과학|科学||과학적으로는 설명할 수 없는 현상입니다.||과학적 근거를 제시하시오.||과학실에 누가 있는 것 같아요.|
36|교통|交通||사는 곳은 교통이 편리한 편입니다.||이제 곧 교통 문제도 해결됩니다.||되도록이면 대중교통을 이용합시다.|
37|교포|海外同胞|동포|그녀는 재미 교포 사업가와 결혼했다.||그는 교포 삼세라고 한다.||재일 교포.|
38|교회|協会|성당|그는 일요일에는 항상 교회에 가요.||교외에서 찬송가가 들려와요.||결혼식은 교회에서 올릴 거예요.|
39|구멍|穴||양말에 구멍 난 것도 모르고 신었다.|靴下に穴があいているのも知らずに履いた。|더 이상 빠져나갈 구멍이 없다.|これ以上抜け道（抜け穴）はない。|간춧구멍만한 눈.|ボタンの穴くらいの（小さな）目。
40|국가|国家|나라|동유럽 국가들도 EU에 가입했다.|東ヨーロッパの国家もEUに加入した。|그 선수는 국가적인 지원을 받았다.|その選手は国家的な支援を受けた。|민주주의 국가.|民主主義国家。
41|국내|国内||국내 최초로 시도되는 계획이다.|国内で最初に試みられる計画だ。|국내에 좋은 여행지 있나요?|国内でよい旅行がありますか？|국내 10대 사찰.|国内の10大寺刹。
42|국물|汁|국|밥 먹을 때는 국물이 있어야 돼요.|ごはんを食べる時には汁物がなくてはいけません。|여기 국물도 좀 떠 가면서 먹어.|このスープもちょっと、すくって飲みながら、（ごはんを）食べろ。|넌 국물도 덦을 줄 알아!|お前の取り分はない（お前には汁もない）と思え！
43|국민|国民|백성|전 국민적인 인기를 얻고 있는 아이돌.|全国的な人気を得ているアイドル。|국민들이 투표에 너무 무관심해요.|国民が投票にとても無関心です。|국민배우.|国民的俳優。
44|국수|うどん|면|점심으로 먹을 국수를 삶았다.|昼食として食べるうどんをゆでる。|아주머니, 국수 한 그릇만 말아 주세요.|おばさん、うどん一杯だけ作ってください。|국수는 언제 먹여 줄 거야?|結婚はいつ（うどんはいつ食べさせてくれるの）？
45|국어|国語||선생님이 좋아서 국어 과먹도 좋아해요.|先生が好きなので国語の科目も好きです。|국어를 잘하면 외국어도 잘해요.|国語ができると、外国語もよくできます。|국립국어원.|国立国語院。
46|국제|国際||국제 규격에 맞춰 제작합니다.|国際規格に合わせて製作します。|그 선수는 국제 대회에 강해요.|その選手は国際大会に強いです。|국제결혼.|国際結婚。
47|군대|軍隊||한국 남자라면 군대에 가야 합니다.|韓国の男子なら軍隊に行かなければなりません。|내년에는 휴학하고 군대에 들어가요.|来年には休学して軍隊に入ります。|군대 생활은 어때요?|軍隊生活はどうですか？
48|권리|権利|자격|투표는 국민의 권리입니다.|投票は国民の権利です。|제 권리를 제가 행사한 것뿐입니다.|自らの権利を自らが行使しただけです。|나의 알 권리를 침하하지 마십시오.|私の知る権利を？？？？しないでください。
